"Control","UI Location","Hidden?","Designed Effect","How to Test (summary)","Verification Status","Evidence","Source"
"Style","Drum Builder / Generation panel","No","Select musical genre for generation","Change style, generate, confirm groove style changes but stays musical","Verified","frontend/test-results/ui-control-validation/v3_ui_style_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Drummer","Drum Builder / Generation panel","No","Select drummer profile/persona","Change drummer, generate, confirm feel changes (timing/vel) without corruption","Verified","frontend/test-results/ui-control-validation/legacy_drummer_selection_groove_source_built_in/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Intensity","Drum Builder / Generation panel","No","Increase/decrease overall energy/loudness","Increase, generate, confirm avg velocity and density increase within bounds","Verified","frontend/test-results/ui-control-validation/v3_ui_intensity_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Variation","Drum Builder / Generation panel","No","Increase pattern variation","Increase, generate twice, confirm higher structural variation without random glitches","Verified","frontend/test-results/ui-control-validation/v3_ui_variation_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Generation Mode","Drum Builder / Generation panel","No","Choose pattern source (template/AI/etc.)","Switch modes, generate, confirm response metadata + musical output","Verified","frontend/test-results/ui-control-validation/v3_ui_generation_mode_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Humanize (toggle)","Drum Builder / Generation panel","No","Enable performance layer","Toggle off/on, generate, confirm microtiming=0 when off, nonzero when on","Verified","frontend/test-results/ui-control-validation/v3_ui_humanize_toggle_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Humanize (section override)","V3 Section Inspector > Humanization (override)","Yes (until override enabled)","Override humanize toggle for selected section","Set build scope selected section, enable humanization override, toggle Humanize, generate, confirm payload.humanize changes","Verified","frontend/test-results/ui-control-validation/v3_ui_humanize_section_override_affects_generate_payload/evidence.json","V3SectionInspector.tsx"
"Fill Type","Drum Builder / Generation panel (fills)","No","Choose fill style","Set fill type, generate, confirm fills appear at transitions and match type","Verified","frontend/test-results/ui-control-validation/v3_ui_fill_type_section_override_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Fill Locations","Drum Builder / Generation panel (fills)","Sometimes","Choose where fills occur","Force fill locations, generate, confirm fills occur only in specified measures","Verified","frontend/test-results/ui-control-validation/v3_ui_fill_locations_force_suppress_bar_affect_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
"Measure Range","Section generation controls","No","Limit generation range","Change range, generate, confirm notes exist only in range","Verified","frontend/test-results/ui-control-validation/v3_ui_measure_range_selected_section_affects_generate_payload/evidence.json","DRUM_BUILDER_COMPLETE_ARCHITECTURE.md"
